#Items
#Id,Name,Mesh

[Amulets]
239,bag of tricks,bag.mesh
240,oilskin sack,sack.mesh

[Unlocking Tools]
241,credit card,credit_card.mesh
242,lock pick,lock_pick.mesh
243,skeleton key,key.mesh
244,key,key.mesh

[Light Sources]
245,tallow candle,candle.mesh
246,candle,candle.mesh
247,wax candle,candle.mesh
248,brass lantern,lamp.mesh
249,oil lamp,lamp.mesh
250,lamp,lamp.mesh
251,magic lamp,lamp.mesh
252,Candelabrum of Invocation,candelabrum.mesh
253,candelabrum,candelabrum.mesh

[Instruments]
254,tin whistle
255,whistle
256,magic whistle
257,bugle
258,wooden flute
259,flute
260,magic flute
261,tooled horn
262,horn
263,frost horn
264,fire horn
265,horn of plenty
266,leather drum
267,drum
268,drum of earthquake
269,wooden harp
270,harp
271,magic harp
272,bell
273,Bell of Opening
274,silver bell

[Traps]
275,beartrap,beartrap.mesh
276,land mine

[Tools]
277,pick-axe,pick.mesh
278,grappling hook
279,iron hook
280,unicorn horn
281,expensive camera
282,mirror
283,looking glass
284,crystal ball
285,glass orb
286,lenses
287,blindfold
288,towel
289,saddle
290,leash
291,stethoscope
292,tinning kit
293,tin opener
294,can of grease
295,figurine
296,magic marker

[Gems]
297,dilithium crystal
298,diamond
299,ruby
300,jacinth
301,sapphire
302,black opal
303,emerald
304,turquoise
305,aquamarine
306,citrine
307,amber
308,topaz
309,jet
310,opal
311,chrysoberyl
312,garnet
313,amethyst
314,jasper
315,fluorite
316,jade
317,agate
318,obsidian

[Worthless Gems]
319,black glass
320,blue glass
321,green glass
322,orange glass
323,red glass
324,violet glass
325,white glass
326,yellow glass
327,yellowish brown glass

[Stones]
328,luckstone
329,touchstone
330,flintstone
331,loadstone
332,rock

[Miscellaneous]
333,gold piece,gold.mesh
334,boulder
335,statue
336,heavy iron ball
337,iron chain
338,acid venom
339,blinding venom

#dynamic objects that the player can interact with but have no other effects
[Dynamic]
340,Crate,crate.mesh
341,Barrel,barrel.mesh
