#Monsters
#Id,Name,Difficulty,Frequency,Alignment_Strength,Size,Weight,Nutrition,Genocideable,Corpse%

[Insects]
83,leocrotta,8,2,0,large,1200,500,Yes,100
84,wumpus,9,1,0,large,2500,500,Yes,100
85,titanothere,13,2,0,large,2650,650,Yes,100
86,baluchitherium,15,2,0,large,3800,800,Yes,100
87,mastodon,22,1,0,large,3800,800,Yes,100

[Small Rodents]
88,sewer rat,1,1,0,tiny,20,12,Yes,25
89,giant rat,2,2,0,tiny,30,30,Yes,33
90,rabid rat,4,1,0,tiny,30,5,Yes,25
91,wererat,4,X,-7,tiny,40,30,No,25#
92,rock mole,4,2,0,small,30,30,Yes,50
93,woodchuck,4,X,0,small,30,30,Yes,33

[Arachnids]
94,cave spider,3,2,0,tiny,50,50,Yes,33
95,centipede,4,1,0,tiny,50,50,Yes,25
96,giant spider,7,1,0,large,100,100,Yes,100
97,scorpion,8,2,0,small,50,100,Yes,50

[Lurkers and Trappers]
98,lurker above,12,2,0,huge,800,350,Yes,100
99,trapper,14,2,0,huge,800,350,Yes,100

[Horses]
100,white unicorn,6,2,7,large,1300,300,Yes,100
101,gray unicorn,6,1,0,large,1300,300,Yes,100
102,black unicorn,6,1,-7,large,1300,300,Yes,100
103,pony,4,2,0,medium,1300,250,Yes,50
104,horse,7,2,0,large,1500,300,Yes,100
105,warhorse,9,2,0,large,1800,350,Yes,100

[Vortexes]
106,fog cloud,4,2,0,huge,0,0,Yes,0
107,dust vortex,6,2,0,huge,0,0,Yes,0
108,ice vortex,7,1*,0,huge,0,0,Yes,0
109,energy vortex,9,1,0,huge,0,0,Yes,0
110,steam vortex,9,2#,0,huge,0,0,Yes,0
111,fire vortex,10,1#,0,huge,0,0,Yes,0

[Worms]
112,baby long worm,9,0,0,large,600,250,Yes,100
113,baby purple worm,9,0,0,large,600,250,Yes,100
114,long worm,9,2,0,gigantic,1500,500,Yes,100
115,purple worm,17,2,0,gigantic,2700,700,Yes,100

[Mythical Insects]
116,grid bug,1,3,0,tiny,15,0,Yes,0
117,xan,9,3,0,tiny,300,300,Yes,33

[Lights]
118,yellow light,5,4,0,small,0,0,Yes,0
119,black light,7,2,0,small,0,0,Yes,0

[Zruty]
120,zruty,11,2,0,large,1200,600,Yes,100

[Greater Beings]
121,couatl,11,1*,7,large,900,0,No,0
122,Aleax,12,1*,7,medium,1450,0,No,0
123,Angel,19,1*,12,medium,1450,0,No,0
124,ki-rin,21,1*,15,large,1450,0,No,0
125,Archon,26,1*,15,large,1450,0,No,0

[Bats and Birds]
126,bat,2,1,0,tiny,20,20,Yes,25
127,giant bat,3,2,0,small,30,30,Yes,50
128,raven,6,2,0,small,40,20,Yes,50
129,vampire bat,7,2,0,small,30,20,Yes,50

[Centaurs]
130,plains centaur,6,1,0,large,2500,500,Yes,100
131,forest centaur,8,1,-1,large,2550,600,Yes,100
132,mountain centaur,9,1,-3,large,2550,500,Yes,100

[Baby Dragons]
133,baby gray dragon,13,0,0,huge,1500,500,Yes,100
134,baby silver dragon,13,0,0,huge,1500,500,Yes,100
135,baby red dragon,13,0,0,huge,1500,500,Yes,100
136,baby white dragon,13,0,0,huge,1500,500,Yes,100
137,baby orange dragon,13,0,0,huge,1500,500,Yes,100
138,baby black dragon,13,0,0,huge,1500,500,Yes,100
139,baby blue dragon,13,0,0,huge,1500,500,Yes,100
140,baby green dragon,13,0,0,huge,1500,500,Yes,100
141,baby yellow dragon,13,0,0,huge,1500,500,Yes,100

[Adult Dragons]
142,gray dragon,20,1,4,gigantic,4500,1500,Yes,100
143,silver dragon,20,1,4,gigantic,4500,1500,Yes,100
144,red dragon,20,1,-4,gigantic,4500,1500,Yes,100
145,white dragon,20,1,-5,gigantic,4500,1500,Yes,100
146,orange dragon,20,1,5,gigantic,4500,1500,Yes,100
147,black dragon,20,1,-6,gigantic,4500,1500,Yes,100
148,blue dragon,20,1,-7,gigantic,4500,1500,Yes,100
149,green dragon,20,1,6,gigantic,4500,1500,Yes,100
150,yellow dragon,20,1,7,gigantic,4500,1500,Yes,100

[Elementals]
151,stalker,9,3,0,large,900,400,Yes,100
152,air elemental,10,1,0,huge,0,0,No,0
153,fire elemental,10,1,0,huge,0,0,No,0
154,earth elemental,10,1,0,huge,2500,0,No,0
155,water elemental,10,1,0,huge,2500,0,No,0

[Moulds]
156,lichen,1,4,0,small,20,200,Yes,50
157,brown mold,2,1,0,small,50,30,Yes,33
158,yellow mold,2,2,0,small,50,30,Yes,50
159,green mold,2,1,0,small,50,30,Yes,33
160,red mold,2,1,0,small,50,30,Yes,33
161,shrieker,2,1,0,small,100,100,Yes,33
162,violet fungus,5,2,0,small,100,100,Yes,50

[Gnomes]
163,gnome,3,1,0,small,650,100,Yes,33
164,gnome lord,4,2,0,small,700,120,Yes,50
165,gnomish wizard,5,1,0,small,700,120,Yes,33
166,gnome king,6,1,0,small,750,150,Yes,33

[Giants]
167,giant,8,X,2,huge,2250,750,Yes,100
168,stone giant,8,1,2,huge,2250,750,Yes,100
169,hill giant,10,1,-2,huge,2200,700,Yes,100
170,fire giant,11,1,2,huge,2250,750,Yes,100
171,frost giant,13,1*,-3,huge,2250,750,Yes,100
172,storm giant,19,1,-3,huge,2250,750,Yes,100
173,ettin,13,1,0,huge,1700,500,Yes,100
174,titan,20,1,9,huge,2300,900,No,100
175,minotaur,17,X,0,large,1500,700,Yes,100

[Jabberwock]
176,jabberwock,18,1,0,large,1300,600,Yes,100

[Keystones]
177,Keystone Kop,3,X,9,medium,1450,200,Yes,33
178,Kop Sergeant,4,X,10,medium,1450,200,Yes,33
179,Kop Lieutenant,5,X,11,medium,1450,200,Yes,33
180,Kop Kaptain,6,X,12,medium,1450,200,Yes,33

[Lichs]
181,lich,14,1,-9,medium,1200,0,Yes,0
182,demilich,18,1,12,medium,1200,0,Yes,0
183,master lich,21,1#,15,medium,1200,0,Yes,0
184,arch-lich,29,1#,15,medium,1200,0,Yes,0

[Mummies]
185,kobold mummy,4,1,-2,small,400,50,Yes,33*#
186,gnome mummy,5,1,-3,small,650,50,Yes,33*#
187,orc mummy,6,1,-4,medium,850,75,Yes,33*#
188,dwarf mummy,6,1,-4,medium,900,150,Yes,33*#
189,elf mummy,7,1,-5,medium,800,175,Yes,33*#
190,human mummy,7,1,-5,medium,1450,200,Yes,33*#
191,ettin mummy,8,1,-6,huge,1700,250,Yes,100*#
192,giant mummy,10,1,-7,huge,2050,375,Yes,100*#

[Naga]
193,red naga hatchling,4,0,0,large,500,100,Yes,100
194,black naga hatchling,4,0,0,large,500,100,Yes,100
195,golden naga hatchling,4,0,0,large,500,100,Yes,100
196,guardian naga hatchling,4,0,0,large,500,100,Yes,100
197,red naga,8,1,-4,huge,2600,400,Yes,100
198,black naga,10,1,4,huge,2600,400,Yes,100
199,golden naga,13,1,5,huge,2600,400,Yes,100
200,guardian naga,16,1,7,huge,2600,400,Yes,100

[Ogres]
201,ogre,7,1,-3,large,1600,500,Yes,100
202,ogre lord,9,2,-5,large,1700,700,Yes,100
203,ogre king,11,2,-7,large,1700,750,Yes,100

[Oozes, Pudddings and Slimes]
204,gray ooze,4,2,0,medium,500,250,Yes,50
205,brown pudding,6,1,0,medium,500,250,Yes,33
206,black pudding,12,1,0,large,900,250,Yes,100
207,green slime,8,1#,0,large,400,150,Yes,100

[Mechanics]
208,quantum mechanic,9,3,0,medium,1450,20,Yes,50

[Disenchanters]
209,rust monster,8,2,0,medium,1000,250,Yes,50
210,disenchanter,14,2#,-3,large,750,200,Yes,100

[Snakes]
211,garter snake,3,1,0,tiny,50,60,Yes,25
212,snake,6,2,0,small,100,80,Yes,50
213,water moccasin,7,X,0,small,150,80,Yes,33
214,pit viper,9,1,0,medium,100,60,Yes,33
215,python,8,1,0,large,250,100,Yes,100
216,cobra,10,1,0,medium,250,100,Yes,33

[Trolls]
217,troll,9,2,-3,large,800,350,Yes,100
218,ice troll,12,1*,-3,large,1000,300,Yes,100
219,rock troll,12,1,-3,large,1200,300,Yes,100
220,water troll,13,X,-3,large,1200,350,Yes,100
221,Olog-hai,16,1,-7,large,1500,400,Yes,100

[Umber Hulk]
222,umber hulk,12,2,0,large,1200,500,Yes,100

[Vampires]
223,vampire,12,1,-8,medium,1450,400,Yes,33*#
224,vampire lord,14,1,-9,medium,1450,400,Yes,33*#
225,Vlad the Impaler,18,X,10,medium,1450,0,No,0

[Wights and Wraiths]
226,barrow wight,7,1,-3,medium,1200,0,Yes,0
227,wraith,8,2,-6,medium,0,0,Yes,50*
228,Nazgul,17,1,17,medium,1450,0,Yes,0

[Xorn]
229,xorn,11,1,0,medium,1200,700,Yes,33

[Primates]
230,monkey,4,1,0,small,100,50,Yes,33
231,ape,6,2,0,large,1100,500,Yes,100
232,owlbear,7,3,0,large,1700,700,Yes,100
233,yeti,7,2,0,large,1600,700,Yes,100
234,carnivorous ape,8,1,0,large,1250,550,Yes,100
235,sasquatch,9,1,2,large,1550,750,Yes,100

[Undead]
236,kobold zombie,1,1,-2,small,400,50,Yes,33*#
237,gnome zombie,2,1,-2,small,650,50,Yes,33*#
238,orc zombie,3,1,-3,medium,850,75,Yes,33*#
239,dwarf zombie,3,1,-3,medium,900,150,Yes,33*#
240,elf zombie,4,1,-3,medium,800,175,Yes,33*#
241,human zombie,5,1,-3,medium,1450,200,Yes,33*#
242,ettin zombie,7,1,-4,huge,1700,250,Yes,100*#
243,giant zombie,9,1,-4,huge,2050,375,Yes,100*#
244,ghoul,5,1,-2,small,400,0,Yes,0
245,skeleton,14,X,0,medium,300,0,No,0

[Golems]
246,straw golem,4,1,0,large,400,0,No,0
247,paper golem,4,1,0,large,400,0,No,0
248,rope golem,6,1,0,large,450,0,No,0
249,gold golem,6,1,0,large,450,0,No,0
250,leather golem,7,1,0,large,800,0,No,0
251,wood golem,8,1,0,large,900,0,No,0
252,flesh golem,10,1,0,large,1400,600,No,100
253,clay golem,12,1,0,large,1550,0,No,0
254,stone golem,15,1,0,large,1900,0,No,0
255,glass golem,18,1,0,large,1800,0,No,0
256,iron golem,22,1,0,large,2000,0,No,0

[Bipeds]
257,human,2,X,0,medium,1450,400,No,33
258,wererat,3,1,-7,medium,1450,400,No,33
259,werejackal,3,1,-7,medium,1450,400,No,33
260,werewolf,6,1,-7,medium,1450,400,No,33
261,elf,12,X,-3,medium,800,350,No,33
262,Woodland-elf,6,2,-5,medium,800,350,Yes,50
263,Green-elf,7,2,-6,medium,800,350,Yes,50
264,Grey-elf,8,2,-7,medium,800,350,Yes,50
265,elf-lord,11,2,-9,medium,800,350,Yes,50
266,Elvenking,11,1,10,medium,800,350,Yes,33
267,doppelganger,11,1,0,medium,1450,400,Yes,33
268,nurse,13,3,0,medium,1450,400,Yes,50
269,shopkeeper,15,X,0,medium,1450,400,No,33
270,guard,14,X,10,medium,1450,400,No,33
271,prisoner,14,X,0,medium,1450,400,No,33
272,Oracle,13,X,0,medium,1450,400,No,33
273,aligned priest,15,X,0,medium,1450,400,No,33
274,high priest,30,X,0,medium,1450,400,No,33
275,soldier,8,1,-2,medium,1450,400,Yes,33
276,sergeant,10,1,-3,medium,1450,400,Yes,33
277,lieutenant,12,1,-4,medium,1450,400,Yes,33
278,captain,14,1,-5,medium,1450,400,Yes,33
279,watchman,8,X,-2,medium,1450,400,Yes,33
280,watch captain,12,X,-4,medium,1450,400,Yes,33

[Unique]
281,Medusa,25,X,15,large,1450,400,No,100
282,Wizard of Yendor,34,X,X,medium,1450,400,No,33
283,Croesus,22,X,15,medium,1450,400,No,33

[Ghosts]
284,ghost,12,X,-5,medium,1450,0,No,0
285,shade,14,X,0,medium,1450,0,No,0

[Demons]
286,water demon,11,X,-7,medium,1450,0,No,0
287,horned devil,9,2#,11,medium,1450,0,No,0
288,succubus,8,1,-9,medium,1450,0,No,0
289,incubus,8,1,-9,medium,1450,0,No,0
290,erinys,10,2#,10,medium,1450,0,No,0
291,barbed devil,10,2#,8,medium,1450,0,No,0
292,marilith,11,1#,12,large,1450,0,No,0
293,vrock,11,2#,-9,large,1450,0,No,0
294,hezrou,12,2#,10,large,1450,0,No,0
295,bone devil,13,2#,-9,large,1450,0,No,0
296,ice devil,14,2#,12,large,1450,0,No,0
297,nalfeshnee,15,1#,11,large,1450,0,No,0
298,pit fiend,16,2#,13,large,1450,0,No,0
299,balrog,20,1#,14,large,1450,0,No,0
300,Juiblex,26,X,15,large,1500,0,No,0
301,Yeenoghu,31,X,15,large,900,0,No,0
302,Orcus,36,X,20,huge,1500,0,No,0
303,Geryon,36,X,15,huge,1500,0,No,0
304,Dispater,40,X,15,medium,1500,0,No,0
305,Baalzebub,45,X,20,large,1500,0,No,0
306,Asmodeus,53,X,20,huge,1500,0,No,0
307,Demogorgon,57,X,20,huge,1500,0,No,0
308,Death,34,X,0,medium,1450,1,No,100
309,Pestilence,34,X,0,medium,1450,1,No,100
310,Famine,34,X,0,medium,1450,1,No,100
311,djinni,8,X,0,medium,1500,0,No,0
312,sandestin,15,1#,-5,medium,1500,0,No,0

[Aquatic]
313,jellyfish,5,X,0,small,80,20,Yes,33
314,piranha,6,X,0,small,60,30,Yes,33
315,shark,9,X,0,large,500,350,Yes,100
316,giant eel,7,X,0,huge,200,250,Yes,100
317,electric eel,10,X,0,huge,200,250,Yes,100
318,kraken,22,X,-3,huge,1800,1000,Yes,100
319,newt,1,5,0,tiny,10,20,Yes,33
320,gecko,2,5,0,tiny,10,20,Yes,33
321,iguana,3,5,0,tiny,30,30,Yes,33
322,baby crocodile,4,0,0,medium,200,200,Yes,33
323,lizard,6,5,0,tiny,10,40,Yes,100
324,chameleon,7,2,0,tiny,100,100,Yes,33
325,crocodile,7,1,0,large,1450,400,Yes,100
326,salamander,12,1#,-9,medium,1500,400,No,33

[Player]
327,archeologist,12,X,3,medium,1450,400,No,100
328,barbarian,12,X,0,medium,1450,400,No,100
329,caveman,12,X,1,medium,1450,400,No,100
330,cavewoman,12,X,1,medium,1450,400,No,100
331,healer,12,X,0,medium,1450,400,No,100
332,knight,12,X,3,medium,1450,400,No,100
333,monk,11,X,0,medium,1450,400,No,100
334,priest,12,X,0,medium,1450,400,No,100
335,priestess,12,X,0,medium,1450,400,No,100
336,ranger,12,X,-3,medium,1450,400,No,100
337,rogue,12,X,-3,medium,1450,400,No,100
338,samurai,12,X,3,medium,1450,400,No,100
339,tourist,12,X,0,medium,1450,400,No,100
340,valkyrie,12,X,-1,medium,1450,400,No,100
341,wizard,12,X,0,medium,1450,400,No,100

[Quest Related]
342,Lord Carnarvon,22,X,20,medium,1450,400,No,33
343,Pelias,22,X,0,medium,1450,400,No,33
344,Shaman Karnov,22,X,20,medium,1450,400,No,33
345,Hippocrates,22,X,0,medium,1450,400,No,33
346,King Arthur,23,X,20,medium,1450,400,No,33
347,Grand Master,30,X,0,medium,1450,400,No,33
348,Arch Priest,30,X,0,medium,1450,400,No,33
349,Orion,22,X,0,medium,1450,400,No,33
350,Master of Thieves,24,X,20,medium,1450,400,No,33
351,Lord Sato,23,X,20,medium,1450,400,No,33
352,Twoflower,22,X,0,medium,1450,400,No,33
353,Norn,23,X,0,medium,1450,400,No,33
354,Neferet the Green,23,X,0,medium,1450,400,No,33
355,Minion of Huhetotl,23,X,14,large,1450,0,No,0
356,Thoth Amon,22,X,14,medium,1450,0,No,0
357,Chromatic Dragon,23,X,14,gigantic,4500,1700,No,100
358,Cyclops,23,X,15,huge,1900,700,No,100
359,Ixoth,22,X,14,gigantic,4500,1600,No,100
360,Master Kaen,31,X,20,medium,1450,400,No,33
361,Nalzok,23,X,127,large,1450,0,No,0
362,Scorpius,17,X,15,medium,750,350,No,33
363,Master Assassin,20,X,18,medium,1450,400,No,33
364,Ashikaga Takauji,19,X,13,medium,1450,0,No,0
365,Lord Surtur,19,X,12,huge,2250,850,No,100
366,Dark One,20,X,10,medium,1450,0,No,0

[Biped Henchmen]
367,student,7,X,3,medium,1450,400,No,33
368,chieftain,7,X,0,medium,1450,400,No,33
369,neanderthal,7,X,1,medium,1450,400,No,33
370,attendant,7,X,3,medium,1450,400,No,33
371,page,7,X,3,medium,1450,400,No,33
372,abbot,8,X,0,medium,1450,400,No,33
373,acolyte,8,X,0,medium,1450,400,No,33
374,hunter,7,X,-7,medium,1450,400,No,33
375,thug,7,X,-3,medium,1450,400,No,33
376,ninja,7,X,3,medium,1450,400,No,33
377,roshi,7,X,3,medium,1450,400,No,33
378,guide,8,X,0,medium,1450,400,No,33
379,warrior,7,X,-1,medium,1450,400,No,33
380,apprentice,8,X,0,medium,1450,400,No,33

[Debug]
381,Default Monster,actor.mesh
